순번,쉼터명칭,사용여부,도로명주소,지번주소,시설유형,시설면적,이용가능인원,운영시작일,운영종료일,평일개방여부,평일 개방시간,평일 종료시간,토요일개방여부,토요일 개방시간,토요일 종료시간,일요일 개방여부,일요일 개방시간,일요일 종료시간,공휴일 개방여부,공휴일 개방시간,공휴일 종료시간,경도,위도,비고,X좌표,Y좌표,야간개방
1098,신사동주민센터,Y,서울특별시 관악구 조원로 142,서울특별시 관악구 신림동 492-4,주민센터,196,38,2024-11-15,2025-03-15,Y,9:00:00,18:00:00,N,,,N,,,N,,,126.9181,37.4855,한파특보 발효 시(평일 09:00~20:00) 운영,192756.5553,542897.9639,
1099,신사경로당,Y,서울특별시 관악구 조원로 151-1 ,서울특별시 관악구 신림동 480-21,노인시설,695,87,2024-11-15,2025-03-15,Y,9:00:00,18:00:00,N,,,N,,,N,,,126.9191148,37.4859096,한파특보 발효시 운영,192846.3459,542943.3465,
1100,신림동주민센터,Y,서울특별시 관악구 신림동길 14,서울특별시 관악구 신림동 1439-3,주민센터,"1,037.72",32,2024-11-15,2025-03-15,Y,9:00:00,18:00:00,N,,,N,,,N,,,126.9270996,37.4873936,한파특보 발효 시(평일 09:00~20:00) 운영,193552.6657,543107.4742,
1101,새들경로당,Y,서울특별시 관악구 관천로20길 43,서울특별시 관악구 신림동 1451-8,노인시설,74.88,10,2024-11-15,2025-03-15,Y,9:00:00,18:00:00,N,,,N,,,N,,,126.9250784,37.4884242,한파특보 발효시 운영,193374.0012,543221.9976,
1102,색동경로당,Y,서울특별시 관악구 신림로70길 74,서울특별시 관악구 신림동 1418-1,노인시설,86,11,2024-11-15,2025-03-15,Y,9:00:00,18:00:00,N,,,N,,,N,,,126.9326888,37.4865046,한파특보 발효시 운영,194046.9059,543008.4388,
1103,난향동주민센터,Y,서울특별시 관악구 난곡로 67,서울특별시 관악구 신림동 1735-5,주민센터,697.9,56,2024-11-15,2025-03-15,Y,9:00:00,18:00:00,N,,,N,,,N,,,126.9188341,37.4615201,한파특보 발효 시(평일 09:00~20:00) 운영,192819.1872,540236.4609,
1104,난향경로당,Y,서울특별시 관악구 난곡로9길 29-2 ,서울특별시 관악구 신림동 678-4,노인시설,97,12,2024-11-15,2025-03-15,Y,9:00:00,18:00:00,N,,,N,,,N,,,126.9181334,37.4640432,한파특보 발효시 운영,192757.4391,540516.5443,
1105,국회단지경로당,Y,서울특별시 관악구 난향9길 59-1 ,서울특별시 관악구 신림동 675-330,노인시설,206,26,2024-11-15,2025-03-15,Y,9:00:00,18:00:00,N,,,N,,,N,,,126.91497,37.460303,한파특보 발효시 운영,192477.2052,540101.681,
1106,신림SH빌(아)경로당,Y,서울특별시 관악구 난곡로 80,서울특별시 관악구 신림동 1736-1,노인시설,64,8,2024-11-15,2025-03-15,Y,9:00:00,18:00:00,N,,,N,,,N,,,126.919834,37.46242,한파특보 발효시 운영,192907.7342,540336.2618,
1107,조원동주민센터,Y,서울특별시 관악구 조원로12길 25,서울특별시 관악구 신림동 568-27,주민센터,"2,668.93",29,2024-11-15,2025-03-15,Y,9:00:00,18:00:00,N,,,N,,,N,,,126.9078078,37.4825884,한파특보 발효 시(평일 09:00~20:00) 운영,191845.9703,542575.6564,
1108,구립강남경로당,Y,서울특별시 관악구 조원로4길 24,서울특별시 관악구 신림동 1657-3,노인시설,191.73,24,2024-11-15,2025-03-15,Y,9:00:00,18:00:00,N,,,N,,,N,,,126.9047018,37.4823368,한파특보 발효시 운영,191571.2288,542548.0057,
1109,조원경로당,Y,서울특별시 관악구 조원로 48,서울특별시 관악구 신림동 560-6,노인시설,93,12,2024-11-15,2025-03-15,Y,9:00:00,18:00:00,N,,,N,,,N,,,126.907749,37.483492,한파특보 발효시 운영,191840.868,542675.9492,
1110,대학동주민센터,Y,서울특별시 관악구 신림로 111,서울특별시 관악구 신림동 1516,주민센터,"1,184.00",35,2024-11-15,2025-03-15,Y,9:00:00,18:00:00,N,,,N,,,N,,,126.936964,37.470602,한파특보 발효 시(평일 09:00~20:00) 운영,194423.8289,541243.2008,
1111,구립대학경로당,Y,서울특별시 관악구 대학12길 16,서울특별시 관악구 신림동 253-13,노인시설,96,12,2024-11-15,2025-03-15,Y,9:00:00,18:00:00,N,,,N,,,N,,,126.9369878,37.466638,한파특보 발효시 운영,194425.6399,540803.249,
1112,삼성동주민센터,Y,서울특별시 관악구 호암로 589,서울특별시 관악구 신림동 1528,주민센터,210.25,29,2024-11-15,2025-03-15,Y,9:00:00,18:00:00,N,,,N,,,N,,,126.9329724,37.470099,한파특보 발효 시(평일 09:00~20:00) 운영,194070.6918,541187.6184,
1113,돌샘경로당,Y,서울특별시 관악구 호암로18나길 5,서울특별시 관악구 신림동 306-12,노인시설,143.6,18,2024-11-15,2025-03-15,Y,9:00:00,18:00:00,N,,,N,,,N,,,126.9328739,37.4652907,한파특보 발효시 운영,194061.5981,540653.9685,
1114,주공2단지(아)경로당,Y,서울특별시 관악구 광신길 86,서울특별시 관악구 신림동 1713,노인시설,142,18,2024-11-15,2025-03-15,Y,9:00:00,18:00:00,N,,,N,,,N,,,126.926697,37.463915,한파특보 발효시 운영,193515.0313,540501.6918,
1115,원신경로당,Y,서울특별시 관악구 양지10길 15-1 ,서울특별시 관악구 신림동 368-8,노인시설,214,27,2024-11-15,2025-03-15,Y,9:00:00,18:00:00,N,,,N,,,N,,,126.927994,37.47045,한파특보 발효시 운영,193630.3288,541226.8997,
1116,주공1단지(아)경로당,Y,서울특별시 관악구 광신길 160,서울특별시 관악구 신림동 1704-1,노인시설,106,13,2024-11-15,2025-03-15,Y,9:00:00,18:00:00,N,,,N,,,N,,,126.927911,37.465935,한파특보 발효시 운영,193622.603,540725.8015,
1117,미성동주민센터,Y,서울특별시 관악구 난곡로 249,서울특별시 관악구 신림동 763-9,주민센터,300,20,2024-11-15,2025-03-15,Y,9:00:00,18:00:00,N,,,N,,,N,,,126.9155578,37.4761902,한파특보 발효 시(평일 09:00~20:00) 운영,192530.79,541864.8985,
1118,미성경로당,Y,서울특별시 관악구 난곡로58길 11,서울특별시 관악구 신림동 1566-35,노인시설,97.2,12,2024-11-15,2025-03-15,Y,9:00:00,18:00:00,N,,,N,,,N,,,126.9157435,37.4800566,한파특보 발효시 운영,192547.5998,542294.0026,
1119,삼성경로당,Y,서울특별시 관악구 난곡로63가길 47,서울특별시 관악구 신림동 1476-33,노인시설,112,14,2024-11-15,2025-03-15,Y,9:00:00,18:00:00,N,,,N,,,N,,,126.91451,37.478851,한파특보 발효시 운영,192438.3765,542160.2954,
1120,약수경로당,Y,서울특별시 관악구 미성길 123,서울특별시 관악구 신림동 733,노인시설,120,20,2024-11-15,2025-03-15,Y,9:00:00,18:00:00,N,,,N,,,N,,,126.912226,37.471838,한파특보 발효시 운영,192235.6303,541382.1322,
1121,하난곡경로당,Y,서울특별시 관악구 난우10가길 20-7 ,서울특별시 관악구 신림동 597-96,노인시설,198,25,2024-11-15,2025-03-15,Y,9:00:00,18:00:00,N,,,N,,,N,,,126.919933,37.476792,한파특보 발효시 운영,192917.8487,541931.3522,
1122,난곡동주민센터,Y,서울특별시 관악구 난곡로30길 40,서울특별시 관악구 신림동 633-56,주민센터,836.94,23,2024-11-15,2025-03-15,Y,9:00:00,18:00:00,N,,,N,,,N,,,126.9216424,37.4710115,한파특보 발효 시(평일 09:00~20:00) 운영,193068.5162,541289.6672,
1123,난곡경로당,Y,서울특별시 관악구 난곡로31길 38,서울특별시 관악구 신림동 712-7,노인시설,305,38,2024-11-15,2025-03-15,Y,9:00:00,18:00:00,N,,,N,,,N,,,126.918345,37.4704392,한파특보 발효시 운영,192776.7743,541226.3974,
