"순번","행정동 이름","시설 이름","주소","시설유형","이용가능인원","평일이용시간","주말이용시간","회원제 여부","X좌표","Y좌표","면적","비고"
"153","중랑구","신내2동주민센터","중랑구 봉화산로 190","주민센터","20","09시 ~ 18시","","","208315.021681","556301.029135","",""
"154","중랑구","중화1동주민센터","중랑구 동일로134길 17","주민센터","50","09시 ~ 18시","","","207123.204569","555735.430906","",""
"155","중랑구","중화2동주민센터","서울특별시 중랑구 동일로129길 1 (중화동) 5층","주민센터","50","09시 ~ 18시","","","207024.968755","555539.313607","",""
"85","노원구","상계2동주민센터","노원구 상계로 118","주민센터","10","09시 ~ 18시","","","205987.041990","561984.708932","",""
"156","동대문구","동부경로당","서울특별시 동대문구 천호대로45길 57 (용두동)","노인시설","10","09시 ~ 18시","","","203857.465144","552865.886828","",""
"157","동대문구","명성경로당","서울특별시 동대문구 무학로28길 22-2 (용두동)","노인시설","20","09시 ~ 18시","","","202820.321589","552757.481602","",""
"158","동대문구","만수경로당","서울특별시 동대문구 약령시로5길 22 (제기동)","노인시설","10","09시 ~ 18시","","","203020.415368","553830.773758","",""
"159","동대문구","섬마을경로당","서울특별시 동대문구 고산자로62길 32 (제기동)","노인시설","15","09시 ~ 18시","","","203323.806986","554500.654171","",""
"160","동대문구","제기경로당","서울특별시 동대문구 경동시장로23길 14 (제기동)","노인시설","20","09시 ~ 18시","","","203486.430336","554021.540445","",""
"161","동대문구","전농1동경로당","서울특별시 동대문구 전농로27길 81 (전농동)","노인시설","15","09시 ~ 18시","","","204605.382340","553254.766404","",""
"162","동대문구","청송경로당","서울특별시 동대문구 전농로17길 19-8 (전농동)","노인시설","20","09시 ~ 18시","","","204905.145191","553238.770686","",""
"163","동대문구","화목경로당","서울특별시 동대문구 전농로31길 33 (전농동)","노인시설","10","09시 ~ 18시","","","204560.517296","553708.540186","",""
"164","동대문구","중산경로당","서울특별시 동대문구 답십리로48길 54 (답십리동)","노인시설","20","09시 ~ 18시","","","205089.573955","552314.214597","",""
"166","동대문구","미나리경로당","서울특별시 동대문구 천호대로87길 43 (장안동)","노인시설","20","09시 ~ 18시","","","205999.108522","551581.978449","",""
"168","동대문구","샛별경로당","서울특별시 동대문구 장한로17길 20 (장안동)","노인시설","10","09시 ~ 18시","","","205962.696365","552037.036437","",""
"170","동대문구","안골경로당","서울특별시 동대문구 천호대로77다길 20 (장안동)","노인시설","15","09시 ~ 18시","","","205688.051590","551749.535814","",""
"171","동대문구","근린경로당","서울특별시 동대문구 장한로 191 (장안동)","노인시설","10","09시 ~ 18시","","","206308.593765","553115.671809","",""
"172","동대문구","늘봄경로당","서울특별시 동대문구 장한로26나길 6 (장안동)","노인시설","20","09시 ~ 18시","","","206413.610366","552424.171345","",""
"173","동대문구","장평경로당","서울특별시 동대문구 한천로28길 27 (장안동)","노인시설","15","09시 ~ 18시","","","206047.231657","552636.451836","",""
"175","동대문구","회기동경로당","서울특별시 동대문구 이문로3길 54 (회기동)","노인시설","15","09시 ~ 18시","","","204596.516861","554572.799124","",""
"176","동대문구","아름경로당","서울특별시 동대문구 휘경로 78 (휘경동)","노인시설","20","09시 ~ 18시","","","","","",""
"177","동대문구","수복경로당","서울특별시 동대문구 망우로6길 24 (휘경동)","노인시설","15","09시 ~ 18시","","","204910.682507","554123.655810","",""
