순번,행정동 이름,시설 이름,주소,시설유형,이용가능인원,평일이용시간,주말이용시간,회원제 여부,X좌표,Y좌표,면적,비고,경도,위도
46,강서구,발산1동 주민센터,강서구 강서로47길 54  ,주민센터,20,09시 ~ 18시,,,185259.830101,550412.512324,,,126.83318580199764,37.553116868664226
47,강서구,방화1동 주민센터,강서구 방화대로 330 ,주민센터,20,09시 ~ 18시,,,183838.668732,552329.450756,,,126.81706039399614,37.5703645146814
48,강서구,방화3동 주민센터,강서구 금낭화로24길 5  ,주민센터,20,09시 ~ 18시,,,183538.704251,553257.92565,,,126.81364409099955,37.57872466969552
49,강서구,염창동 주민센터,강서구 양천로67가길 63 ,주민센터,20,09시 ~ 18시,,,188599.65189,550477.18345,,,126.870981391002,37.553746901662954
50,강서구,우장산동 주민센터,강서구 우현로 34 ,주민센터,30,09시 ~ 18시,,,186024.873517,549867.616319,,,126.84185412499897,37.54821929765711
51,강서구,화곡1동 주민센터,강서구 곰달래로 79  ,주민센터,20,09시 ~ 18시,,,185999.108421,547906.184368,,,126.84159995099994,37.53054647063996
52,강서구,화곡2동주민센터,강서구 곰달래로37길 13  ,주민센터,20,09시 ~ 18시,,,187138.801462,548045.744645,,,126.85449146400254,37.5318204966437
53,강서구,화곡3동주민센터,강서구 강서로33가길 17  ,주민센터,20,09시 ~ 18시,,,185717.803163,549237.151088,,,126.8383915190035,37.54253412865555
54,강서구,화곡4동주민센터,강서구 곰달래로57가길 26  ,주민센터,30,09시 ~ 18시,,,187667.265561,548376.63723,,,126.8604648100027,37.534809048642714
55,강서구,화곡6동주민센터,강서구 화곡로 312  ,주민센터,30,09시 ~ 18시,,,186751.528991,550266.610395,,,126.85006990499912,37.55182494265914
56,강서구,화곡8동 주민센터,강서구 곰달래로25길 45  ,주민센터,20,09시 ~ 18시,,,186594.183671,548144.69775,,,126.84832800199871,37.53270430964451
57,강서구,화곡본동 주민센터,강서구 초록마을로5길 29  ,주민센터,20,09시 ~ 18시,,,186537.215811,549403.755852,,,126.84766039899733,37.54404755665481
58,관악구,국지경로당,관악구 국회단지21길 14,노인시설,80,09시 ~ 18시,09시 ~ 18시,,194830.791785,543427.568507,,,126.94154919400225,37.49028570660001
59,관악구,신림종합사회복지관,관악구 난곡로 110,복지회관,300,09시 ~ 18시,10시 ~ 18시,,192908.09853,540606.781505,,,126.91983551600472,37.46485741456744
126,영등포구,당산1동 공립 작은도서관,영등포구 양산로23길 11(2층),작은도서관,22,10시 ~ 17시,,,190927.041708,547280.110102,,,126.89736008799929,37.524967156634396
127,영등포구,대림1동 공립 작은도서관,영등포구 디지털로441 보건소 분소 3층,작은도서관,28,10시 ~ 17시,,,191671.891551,544002.158415,,,126.9058234749966,37.4954397246043
129,용산구,남영동주민센터,용산구 두텁바위로 25,주민센터,10,09시 ~ 18시,,,197774.625519,549590.181359,,,126.9748179280023,37.545822829654334
130,용산구,원효로2동주민센터,용산구 효창원로8길 3,주민센터,20,09시 ~ 18시,,,195718.571993,548317.224262,,,126.95155929800052,37.534346236640445
131,용산구,이촌제1동주민센터,용산구 이촌로71길 24,주민센터,10,09시 ~ 18시,,,197642.310331,546874.827637,,,126.97332937900075,37.52135713963104
132,용산구,한남동주민센터,용산구 대사관로5길 1,주민센터,20,09시 ~ 18시,,,200044.928931,548340.589648,,,127.0005083340017,37.534566692646415
133,종로구,구립무악경로당,종로구 통일로14길 19,노인시설,30,09시 ~ 18시,,,196269.045247,552874.889096,,,126.95776426199792,37.575413072685976
134,종로구,동원경로당,종로구 숭인동2길 28,노인시설,35,09시 ~ 18시,,,201788.909851,553193.215471,,,127.02025187600402,37.57828699368941
135,종로구,혜명경로당,종로구 혜화로9길 24-9,노인시설,100,09시 ~ 18시,,,199848.342439,554277.074165,,,126.99828289199482,37.5880542137055
136,중구,광희동 주민센터,중구 퇴계로303-9,주민센터,30,09시 ~ 19시,,,200445.672843,551660.313597,,,127.00504443800305,37.56447725067749
137,중구,약수노인종합복지관,중구 다산로6길 11,복지회관,150,09시 ~ 19시,,,200823.359322,550327.417073,,,127.00931786300251,37.55246763066052
138,중구,청구e편한세상경로당,중구 청구로 64 청구 e편한세상 109동,노인시설,40,09시 ~ 19시,13시 ~ 17시,,201490.134182,551230.44612,,,127.01686551100232,37.56060306266897
139,중구,현대아파트경로당,중구 다산로 36길 109 현대아파트 정문 앞,노인시설,40,09시 ~ 19시,,,202029.53302,551219.584585,,,127.02297045899726,37.56050417067184
140,중랑구,망우3동주민센터,중랑구 겸재로61길 40,주민센터,20,09시 ~ 18시,,,208386.549826,554708.62065,,,127.09495966999474,37.591904228702056
141,중랑구,망우본동주민센터,중랑구 망우로67길 10,주민센터,50,09시 ~ 18시,,,208964.464376,555671.877401,,,127.10151509199886,37.60057762971464
142,중랑구,면목2동주민센터,중랑구 동일로101길 20-15 ,주민센터,20,09시 ~ 18시,,,206979.829304,554470.801202,,,127.07902932999441,37.58977323569942
143,중랑구,면목3.8동주민센터,중랑구 사가정로51길 48,주민센터,50,09시 ~ 18시,,,207778.855335,553714.990925,,,127.08806829400538,37.58295704269535
144,중랑구,면목4동주민센터,중랑구 면목로 246,주민센터,20,09시 ~ 18시,,,207562.085485,552797.548623,,,127.0856046730001,37.574692756689785
145,중랑구,면목5동주민센터,중랑구 동일로 619 ,주민센터,30,09시 ~ 18시,,,207021.476296,554026.775052,,,127.07949662400159,37.58577227970375
146,중랑구,면목7동주민센터,서울특별시 중랑구 면목로36길 4 (면목동),주민센터,50,09시 ~ 18시,,,207602.313127,553137.554437,,,127.08606358500089,37.57775585569471
147,중랑구,면목본동주민센터,중랑구 면목로 397,주민센터,70,09시 ~ 18시,,,207731.886507,554197.792131,,,127.08754163099616,37.58730743870443
148,중랑구,묵1동주민센터,중랑구 공릉로2가길 5,주민센터,30,09시 ~ 18시,,,206929.313146,556983.131876,,,127.07848113399538,37.61240946072952
149,중랑구,묵2동주민센터,서울특별시 중랑구 중랑역로 181 (묵동) 2층,주민센터,15,09시 ~ 18시,,,206699.531049,556665.780599,,,127.07587572799969,37.60955186472907
150,중랑구,상봉1동주민센터,중랑구 상봉중앙로1길 6,주민센터,15,09시 ~ 18시,,,207696.768763,555587.144303,,,127.08715862100424,37.59982566771458
151,중랑구,상봉2동주민센터,중랑구 동일로114길 10,주민센터,40,09시 ~ 18시,,,207140.774897,554824.67669,,,127.08085508899826,37.59296038870684
152,중랑구,신내1동주민센터,중랑구 용마산로129나길 35,주민센터,15,09시 ~ 18시,,,208785.165546,556265.111531,,,127.09949180299978,37.605924332720754
153,중랑구,신내2동주민센터,중랑구 봉화산로 190,주민센터,20,09시 ~ 18시,,,208315.021681,556301.029135,,,127.09416784899948,37.606252314717764
154,중랑구,중화1동주민센터,중랑구 동일로134길 17,주민센터,50,09시 ~ 18시,,,207123.204569,555735.430906,,,127.08066499800334,37.60116633271661
155,중랑구,중화2동주민센터,서울특별시 중랑구 동일로129길 1 (중화동) 5층,주민센터,50,09시 ~ 18시,,,207024.968755,555539.313607,,,127.07955066999858,37.59940009071178
85,노원구,상계2동주민센터,노원구 상계로 118,주민센터,10,09시 ~ 18시,,,205987.04199,561984.708932,,,127.06784997699839,37.657479526772626
156,동대문구,동부경로당,서울특별시 동대문구 천호대로45길 57 (용두동),노인시설,10,09시 ~ 18시,,,203857.465144,552865.886828,,,127.04366783299486,37.57533144168872
157,동대문구,명성경로당,서울특별시 동대문구 무학로28길 22-2 (용두동),노인시설,20,09시 ~ 18시,,,202820.321589,552757.481602,,,127.03192659600215,37.57435847568516
158,동대문구,만수경로당,서울특별시 동대문구 약령시로5길 22 (제기동),노인시설,10,09시 ~ 18시,,,203020.415368,553830.773758,,,127.03419611900553,37.58402813770167
159,동대문구,섬마을경로당,서울특별시 동대문구 고산자로62길 32 (제기동),노인시설,15,09시 ~ 18시,,,203323.806986,554500.654171,,,127.03763405400493,37.59006266570786
160,동대문구,제기경로당,서울특별시 동대문구 경동시장로23길 14 (제기동),노인시설,20,09시 ~ 18시,,,203486.430336,554021.540445,,,127.03947308900379,37.58574528569603
161,동대문구,전농1동경로당,서울특별시 동대문구 전농로27길 81 (전농동),노인시설,15,09시 ~ 18시,,,204605.38234,553254.766404,,,127.05213695299902,37.5788317876905
162,동대문구,청송경로당,서울특별시 동대문구 전농로17길 19-8 (전농동),노인시설,20,09시 ~ 18시,,,204905.145191,553238.770686,,,127.0555304220039,37.57868611969481
163,동대문구,화목경로당,서울특별시 동대문구 전농로31길 33 (전농동),노인시설,10,09시 ~ 18시,,,204560.517296,553708.540186,,,127.05163186499591,37.58292048269444
164,동대문구,중산경로당,서울특별시 동대문구 답십리로48길 54 (답십리동),노인시설,20,09시 ~ 18시,,,205089.573955,552314.214597,,,127.05761189399864,37.57035492168143
166,동대문구,미나리경로당,서울특별시 동대문구 천호대로87길 43 (장안동),노인시설,20,09시 ~ 18시,,,205999.108522,551581.978449,,,127.06790145800136,37.563752035679435
168,동대문구,샛별경로당,서울특별시 동대문구 장한로17길 20 (장안동),노인시설,10,09시 ~ 18시,,,205962.696365,552037.036437,,,127.0674930230003,37.56785232368497
170,동대문구,안골경로당,서울특별시 동대문구 천호대로77다길 20 (장안동),노인시설,15,09시 ~ 18시,,,205688.05159,551749.535814,,,127.06438203300091,37.5652636926813
171,동대문구,근린경로당,서울특별시 동대문구 장한로 191 (장안동),노인시설,10,09시 ~ 18시,,,206308.593765,553115.671809,,,127.07141758599958,37.577568463686866
172,동대문구,늘봄경로당,서울특별시 동대문구 장한로26나길 6 (장안동),노인시설,20,09시 ~ 18시,,,206413.610366,552424.171345,,,127.07260039599932,37.571337360683515
173,동대문구,장평경로당,서울특별시 동대문구 한천로28길 27 (장안동),노인시설,15,09시 ~ 18시,,,206047.231657,552636.451836,,,127.06845483800346,37.57325247368813
175,동대문구,회기동경로당,서울특별시 동대문구 이문로3길 54 (회기동),노인시설,15,09시 ~ 18시,,,204596.516861,554572.799124,,,127.05204485500114,37.59070721170237
176,동대문구,아름경로당,서울특별시 동대문구 휘경로 78 (휘경동),노인시설,20,09시 ~ 18시,,,,,,,,
177,동대문구,수복경로당,서울특별시 동대문구 망우로6길 24 (휘경동),노인시설,15,09시 ~ 18시,,,204910.682507,554123.65581,,,127.05559903799787,37.58665884369694
179,동대문구,휘경2동경로당,서울특별시 동대문구 망우로20가길 34-6 (휘경동),노인시설,20,09시 ~ 18시,,,205722.646943,554511.813426,,,127.0647951739999,37.590151424705496
180,동대문구,진성경로당,서울특별시 동대문구 이문로16길 19 (이문동),노인시설,10,09시 ~ 18시,,,205275.20708,554975.312087,,,127.05973233700271,37.59433018070451
181,동대문구,신이문경로당,서울특별시 동대문구 신이문로8길 32 (이문동),노인시설,20,09시 ~ 18시,,,205597.229326,555772.002496,,,127.06338475299859,37.60150638471363
60,관악구,신본경로당,관악구 남부순환로200다길 7,노인시설,80,09시 ~ 18시,09시 ~ 18시,,194393.581703,542570.629535,,,126.93661196900547,37.48256207158605
61,광진구,소능경로당,"광진구 자양로37길 85(구의2동, 소능경로당)",노인시설,40,09시 ~ 18시,,,207594.540621,549796.522263,,,127.08594100899897,37.54765336965768
62,광진구,아차산경로당,"광진구 자양로47길 9-4(구의2동, 아차산경로당)",노인시설,30,09시 ~ 18시,,,208097.942323,550298.298936,,,127.09164311000238,37.552170080664915
63,광진구,자양2동제2경로당,"광진구 뚝섬로62길 17(자양동, 자양2동 제2경로당)",노인시설,20,09시 ~ 18시,,,207792.385624,548122.142088,,,127.08816208699766,37.53256557164187
64,구로구,가리봉동 주민센터,구로구 우마2길 35,동주민센터,20,09시 ~ 18시,,,190246.228278,542572.186013,,,126.88972065299554,37.482541633589975
65,구로구,개봉1동주민센터,구로구 경인로33길 51,동주민센터,20,09시 ~ 18시,,,186837.850254,544538.944109,,,126.8511493540027,37.5002199576095
66,구로구,개봉2동 주민센터,구로구 개봉로16가길 17,동주민센터,10,09시 ~ 18시,,,187317.389174,543483.097972,,,126.85659063200046,37.490713450596004
67,구로구,개봉3동주민센터,구로구 개봉로3길 47-5,동주민센터,20,09시 ~ 18시,,,187073.164721,542959.715003,,,126.85383824599667,37.48599435959245
68,구로구,고척1동주민센터,구로구 중앙로3길 18-8,동주민센터,20,09시 ~ 18시,,,187868.064457,544556.916992,,,126.86279970999445,37.50039599960684
69,구로구,고척2동 주민센터,구로구 중앙로15길 22,동주민센터,20,09시 ~ 18시,,,187497.659934,545256.181865,,,126.8585989279996,37.506691456611414
70,구로구,구로1동주민센터,구로구 구일로4길 57,동주민센터,20,09시 ~ 18시,,,189015.502305,543738.900522,,,126.87578828499608,37.49303999259976
71,구로구,구로2동주민센터,구로구 구로동로 141,동주민센터,20,09시 ~ 18시,,,189689.24012,543551.320365,,,126.8834094640048,37.49135764960264
72,구로구,구로3동주민센터,구로구 디지털로31길 109,동주민센터,20,09시 ~ 18시,,,190300.627482,543105.986832,,,126.89032867700172,37.48735178759354
73,구로구,구로4동주민센터,구로구 구로동로28길 94(구로동),동주민센터,20,09시 ~ 18시,,,190196.830087,543574.988933,,,126.88914879199787,37.4915764296005
74,구로구,구로5동주민센터,구로구 구로중앙로28길 66,동주민센터,20,09시 ~ 18시,,,190219.367293,544519.725578,,,126.88939108200455,37.500088793604775
75,구로구,수궁동 주민센터,구로구 오리로15길 32,동주민센터,20,09시 ~ 18시,,,185098.208114,543837.002849,,,126.83149004000408,37.49386902059738
76,구로구,신도림동주민센터,구로구 신도림로 40(신도림동),동주민센터,20,09시 ~ 18시,,,189443.210491,545373.649903,,,126.8806013100041,37.507774137614746
77,구로구,오류1동주민센터,구로구 경인로27길 10,동주민센터,20,09시 ~ 18시,,,186319.365764,544219.193876,,,126.84529178000405,37.497331464605786
78,구로구,오류2동 주민센터,구로구 오류로 45,동주민센터,20,09시 ~ 18시,,,185806.382413,543274.263003,,,126.83950891799651,37.48880986359881
79,구로구,항동주민센터,구로구 서해안로 2102,동주민센터,10,09시 ~ 18시,,,184379.488533,542315.16713,,,126.82339505099965,37.48014535058344
80,금천구,독산역 미세먼지 안심쉼터,서울특별시 금천구 독산동 1081-4,기타,15,24시간,24시간,,190216.128956,540826.614491,,,126.88940351868084,37.46681357092237
81,노원구,공릉1동주민센터,노원구 동일로186길 3-24,주민센터,10,09시 ~ 18시,,,206512.170824,558350.858201,,,127.07376877400533,37.6247355477404
82,노원구,공릉2동주민센터,노원구 노원로1길 68,주민센터,10,09시 ~ 18시,,,207362.919238,557969.48887,,,127.08340206100029,37.621293043741524
83,노원구,상계10동주민센터,노원구 노원로 530,주민센터,10,09시 ~ 18시,,,205316.50349,562404.227093,,,127.06025395399483,37.66126343277686
84,노원구,상계1동주민센터,노원구 동일로 1697,주민센터,10,09시 ~ 18시,,,204847.114018,564473.989106,,,127.05494793499874,37.67991416380115
86,노원구,상계3.4동주민센터,노원구 덕릉로 859,주민센터,10,09시 ~ 18시,,,207342.80399,563697.678013,,,127.0832317810034,37.672903195787946
87,노원구,상계5동주민센터,노원구 한글비석로 434,주민센터,10,09시 ~ 18시,,,206118.371947,562588.198546,,,127.06934337000052,37.66291598778358
88,노원구,상계6.7동주민센터,노원구 노원로 429,주민센터,10,09시 ~ 18시,,,205907.968617,561694.422538,,,127.06695150599622,37.65486461176939
89,노원구,상계8동주민센터,노원구 동일로227길 97,주민센터,10,09시 ~ 18시,,,204548.629282,563012.239997,,,127.05155513600036,37.66674563578106
90,노원구,상계9동주민센터,노원구 한글비석로 487,주민센터,10,09시 ~ 18시,,,205631.159491,562768.378592,,,127.0638228769995,37.6645424917816
91,노원구,월계1동주민센터,노원구 석계로 59,주민센터,10,09시 ~ 18시,,,205550.874286,557822.916621,,,127.06287536900078,37.61998516873834
92,노원구,월계2동주민센터,노원구 초안산로5길 28,주민센터,10,09시 ~ 18시,,,204482.278005,559212.375731,,,127.0507797810056,37.63250983574703
93,노원구,월계3동주민센터,노원구 마들로 57,주민센터,10,09시 ~ 18시,,,206111.224095,557937.065727,,,127.06922346299511,37.62101008474138
94,노원구,중계1동주민센터,노원구 한글비석로 279,주민센터,10,09시 ~ 18시,,,206835.698539,561436.393612,,,127.07746249599478,37.65253338277109
95,노원구,중계2.3동주민센터,노원구 노원로17길 56,주민센터,10,09시 ~ 18시,,,206065.716503,560282.405623,,,127.06872744400313,37.64214155476051
96,노원구,중계4동주민센터,노원구 덕릉로82길 50,주민센터,10,09시 ~ 18시,,,206880.330277,562129.405999,,,127.07797479399615,37.65877696278084
97,노원구,중계본동주민센터,노원구 중계로 143,주민센터,10,09시 ~ 18시,,,207085.377804,560914.202065,,,127.08028680699529,37.64782663776308
98,노원구,하계1동주민센터,노원구 노원로 261,주민센터,10,09시 ~ 18시,,,206404.458111,560105.735102,,,127.07256399600247,37.64054748376012
99,노원구,하계2동주민센터,노원구 공릉로55길 88,주민센터,10,09시 ~ 18시,,,205998.697823,559161.485701,,,127.06795889199755,37.632042679751116
100,도봉구,도봉동노인복지센터,도봉구 도봉로169가길 52,복지회관,12,09시 ~ 18시,,,203842.904783,564721.123024,,,127.04356530699883,37.682145540805074
101,도봉구,방아골종합사회복지관,도봉구 시루봉로17길 42,복지회관,25,09시 ~ 18시,,,202875.792281,563295.541395,,,127.03259596400409,37.66930488879096
102,도봉구,방학동노인복지센터,도봉구 시루봉로15라길 59-9,복지회관,9,09시 ~ 18시,,,202840.384683,563435.8224,,,127.03219517899552,37.670568902785604
103,동대문구,고황경로당,동대문구 이문로9길 52,노인시설,59,09시 ~ 18시,,,204992.527902,554995.325216,,,127.0565316359963,37.59451207370758
104,동대문구,답십리3동경로당,동대문구 황물로 30,노인시설,70,09시 ~ 18시,,,203992.024075,552735.303142,,,127.0451903749978,37.574154316686
105,동대문구,청량경로당,동대문구 왕산로43다길 5,노인시설,49,09시 ~ 18시,,,204174.701616,554081.595772,,,127.04726598199744,37.58628351669975
106,동작구,흑석역 미세먼지 안심 스마트쉼터,동작구 현충로 90,기타,8,24시간,24시간,,196785.211533,545512.571213,,,126.96363967599976,37.50908057261745
107,동작구,이수역 미세먼지 안심 스마트쉼터,동작구 사당로 310,기타,12,24시간,24시간,,198384.786893,542868.11269,,,126.98173720599958,37.48525801259537
108,동작구,이수힐스테이트 앞 미세먼지 안심 스마트쉼터,동작구 동작동 66-29,기타,8,24시간,24시간,,198466.619481,543926.747563,,,126.98266026100993,37.494796532754414
109,마포구,상암동주민센터,마포구 매봉산로2길 16,주민센터,50,09시 ~ 18시,,,190696.297613,553202.959692,,,126.8946746769998,37.57832953868765
110,마포구,성산1동주민센터,마포구 성산로4길 15,주민센터,120,09시 ~ 18시,,,191862.507505,551541.363025,,,126.90789552300546,37.56336969167949
111,마포구,연남동주민센터,마포구 성미산로29길 17-9 ,주민센터,30,09시 ~ 18시,,,193109.25464,551663.52509,,,126.9220057110017,37.56448053168071
112,마포구,염리동주민센터,마포구 숭문길 14,주민센터,50,09시 ~ 18시,,,195196.993567,549731.784552,,,126.94564883500182,37.54708884965614
113,서대문구,초원경로당,서대문구 홍제내  2길 56,노인시설,42,09시 ~ 18시,,,194454.312561,554140.873316,,,126.93721127200348,37.58681036669923
114,서대문구,홍남경로당,서대문구 증가로 4길 38-9,노인시설,25,09시 ~ 18시,,,193592.419053,553089.743352,,,126.92746203899681,37.57733416669474
