"년도","지역코드","시설유형","쉼터명칭","도로명주소","지번상세주소","면적","이용가능인원","비고","운영시작일","운영종료일","경도","위도","X좌표","Y좌표"
"2025","1150064100","002","방화6종합사회복지관","서울특별시 강서구 금낭화로23길 25","","1,742.00","572","","20240520","20240930","126.810900","37.577900","183296.127199","553166.880999"
"2025","1150064100","002","방화2종합사회복지관","서울특별시 강서구 방화대로48길 40","","210.00","94","","20240520","20240930","126.819580","37.575093","184062.300053","552853.805861"
"2025","1150064100","001","방화9단지(아)어르신사랑방","서울특별시 강서구 양천로11길 57","","19.00","12","","20240520","20240930","126.807563","37.574991","183000.670095","552844.613629"
"2025","1150064100","001","방화6단지(아)어르신사랑방","서울특별시 강서구 금낭화로23길 25","","90.00","27","","20240520","20240930","126.810907","37.577909","183296.773978","553167.845303"
"2025","1120052000","001","일심경로당","서울특별시 성동구 무학봉15라길 4","","42.90","10","","20240520","20240930","127.030426","37.562671","202688.182410","551460.241992"
"2025","1120052000","005","왕십리제2동주민센터","서울특별시 성동구 무학봉15길 6","","40.49","25","","20240520","20240930","127.030977","37.561759","202736.923949","551359.036653"
"2025","1120052000","001","무학봉 경로당(행당1동관리)","서울특별시 성동구 무학봉18길 4-2 ","","49.50","15","","20240520","20240930","127.031761","37.561184","202806.187423","551295.241549"
"2025","1120053500","099","청계도서관","서울특별시 성동구 마장로 141","","100.00","30","","20240520","20240930","127.025548","37.567877","202257.002587","552037.929672"
"2025","1120053500","001","왕십리도선동노인복지관","서울특별시 성동구 마장로 141","","515.00","9","","20240520","20240930","127.025434","37.567814","202246.994949","552030.945791"
"2025","1120053500","005","왕십리도선동주민센터","서울특별시 성동구 마장로 141","","38.88","10","","20240520","20240930","127.025458","37.567853","202249.096409","552035.230510"
"2025","1120053500","001","도선경로당","서울특별시 성동구 무학로6길 9","","72.30","21","","20240520","20240930","127.031106","37.565518","202748.156840","551776.245203"
"2025","1120054000","099","1인가구지원센터","서울특별시 성동구 마장로39길 31","","282.00","30","","20240520","20240930","127.042972","37.568107","203796.373174","552064.062592"
"2025","1120054000","005","마장동주민센터","서울특별시 성동구 마장로42길 11","","866.00","12","","20240520","20240930","127.045289","37.566324","204001.155251","551866.255455"
"2025","1120054000","002","성동종합사회복지관","서울특별시 성동구 청계천로 506","","5,468.00","15","","20240520","20240930","127.033643","37.570364","202972.103468","552314.238417"
"2025","1120054000","002","시립성동노인종합복지관","서울특별시 성동구 마조로 77","","2,675.00","70","","20240520","20240930","127.041319","37.564791","203650.491763","551695.926607"
"2025","1120054000","001","왕좌경로당","서울특별시 성동구 청계천로10나길 40-5 ","","42.00","12","","20240520","20240930","127.035228","37.570013","203112.140819","552275.244023"
"2025","1120054000","001","서마경로당","서울특별시 성동구 청계천로10나길 58","","42.00","10","","20240520","20240930","127.036248","37.570144","203202.227203","552289.862157"
"2025","1120054000","001","마장 제6경로당","서울특별시 성동구 살곶이2가길 114","","36.00","11","","20240520","20240930","127.044416","37.563802","203924.160474","551586.261829"
"2025","1120054000","001","마장 제4경로당","서울특별시 성동구 고산자로 328","","46.00","14","","20240520","20240930","127.037432","37.568669","203306.907800","552126.195354"
"2025","1120054000","001","마장 제3경로당","서울특별시 성동구 무학로14가길 8-1 ","","66.00","20","","20240520","20240930","127.034016","37.567625","203005.165231","552010.242113"
"2025","1120054000","001","마장 제2경로당","서울특별시 성동구 마조로16길 31","","86.00","26","","20240520","20240930","127.044120","37.565822","203897.912410","551810.445814"
"2025","1120055000","005","사근동주민센터","서울특별시 성동구 사근동길 37","","200.00","12","","20240520","20240930","127.045311","37.561498","204003.357140","551330.604901"
"2025","1120055000","001","사근동노인복지관","서울특별시 성동구 사근동길 37","","551.99","8","","20240520","20240930","127.045311","37.561498","204003.357140","551330.604901"
"2025","1120055000","001","사근 제1경로당","서울특별시 성동구 사근동12길 1","","158.00","47","","20240520","20240930","127.048409","37.560998","204277.102935","551275.269467"
"2025","1120055000","001","사근 제3경로당","서울특별시 성동구 마조로9길 2","","56.00","16","","20240520","20240930","127.041115","37.561275","203632.639284","551305.684080"
"2025","1120055000","001","사근 제2경로당","서울특별시 성동구 사근동11길 48","","65.00","19","","20240520","20240930","127.047065","37.564386","204158.167554","551651.259468"
"2025","1129065000","005","정릉4동 주민센터","서울특별시 성북구 보국문로 106-1 ","","3,180.00","150","","20240520","20240930","127.006998","37.613347","200617.829364","557084.315204"
"2025","1129065000","001","청수경로당","서울특별시 성북구 보국문로32길 26","","138.00","48","","20240520","20240930","127.002448","37.618332","200216.079287","557637.576256"
"2025","1129065000","001","정릉4동 할머니 경로당","서울특별시 성북구 솔샘로24길 34","","77.16","25","","20240520","20240930","127.009116","37.614652","200804.808102","557229.138842"
"2025","1129065000","001","정릉4동경로당","서울특별시 성북구 보국문로18가길 5","","147.07","78","","20240520","20240930","127.010753","37.610944","200949.456710","556817.639625"
"2025","1129066000","099","소리마을 주민공동이용시설","서울특별시 성북구 삼양로9길 14-7 ","","97.55","25","","20240520","20240930","127.022019","37.608805","201944.184702","556580.385331"
"2025","1129066000","005","길음1동 주민센터","서울특별시 성북구 길음로 92","","2,179.00","30","","20240520","20240930","127.019380","37.610498","201711.147831","556768.294011"
"2025","1129066000","001","인영경로당","서울특별시 성북구 삼양로9가길 6","","54.05","34","","20240520","20240930","127.021905","37.608677","201934.157479","556566.176381"
"2025","1129066000","001","길음동돌산경로당","서울특별시 성북구 길음로 135-11 ","","60.66","27","","20240520","20240930","127.015415","37.613243","201361.008220","557072.883243"
"2025","1129066000","008","새마을금고 길음중앙(본점)","서울특별시 성북구 길음로 74","","50.00","5","","20240520","20240930","127.019889","37.610035","201756.118525","556716.893255"
"2025","1129066000","008","새마을금고 성북제일(본점)","서울특별시 성북구 길음로 20","","50.00","5","","20240520","20240930","127.023038","37.604691","202034.297858","556123.775775"
